Date,open_adj,high_adj,low_adj,close_adj,volume
2020-06-25,280.189799,284.039917,278.167799,283.772156,89468000
2020-06-26,282.673493,282.885859,276.450549,277.032196,127961000
2020-06-29,278.287868,281.242369,275.998107,281.103882,79773300
2020-06-30,280.669923,286.403554,280.51298,284.704681,113394800
2020-07-01,285.821778,287.963809,285.360135,286.698883,72396500
2020-07-02,290.133619,291.481638,287.613064,288.277832,69344200
2020-07-06,292.10023,293.309733,291.35237,292.728058,61713800
2020-07-07,291.186096,293.161914,289.330281,289.708832,82910000
2020-07-08,290.475177,292.035534,288.711724,291.924744,54638600
2020-07-09,292.534064,292.774127,286.846616,290.262787,83354200
2020-07-10,290.198274,293.494415,288.767191,293.226654,57550400
2020-07-13,295.571786,297.953854,290.032066,290.687592,102997500
2020-07-14,289.265665,295.230117,288.065404,294.454559,93657000
2020-07-15,297.676859,298.258534,294.777725,297.159821,87196500
2020-07-16,295.257896,296.633584,294.611584,296.181183,54622500
2020-07-17,297.187524,297.824594,295.211677,297.039795,62774900
2020-07-20,296.771996,300.188167,296.024136,299.440308,56308800
2020-07-21,301.406897,301.850056,299.089439,300.077362,57292200
2020-07-22,299.717308,302.099404,299.606518,301.785461,57792900
2020-07-23,301.425407,302.127114,296.818216,298.184662,75738000
2020-07-24,296.328858,297.289056,294.759259,296.264221,73766600
2020-07-27,296.956721,298.60017,296.16268,298.424744,48293000
2020-07-28,297.695304,298.812502,296.236524,296.531982,57495000
2020-07-29,297.409065,300.742144,297.372126,300.178925,48454200
2020-07-30,297.205942,299.5234,295.119334,299.10791,61861700
2020-07-31,300.899094,301.573103,296.679667,301.471527,84986800
2020-08-03,303.133437,304.333698,302.588701,303.567383,53077900
2020-08-04,302.708779,304.740021,302.708779,304.740021,41917900
2020-08-05,306.041832,306.891268,305.774071,306.632721,42697700
2020-08-06,306.051059,308.802435,305.727903,308.682404,43679400
2020-08-07,307.713005,309.190269,306.808174,308.904053,57308300
2020-08-10,309.356416,310.011941,307.417508,309.827301,44282100
2020-08-11,311.009165,311.646235,306.54046,307.269836,69601100
2020-08-12,309.707229,312.32936,309.679532,311.553802,53774400
