Date,open_adj,high_adj,low_adj,close_adj,volume
2012-12-05,58.341104,58.350009,57.468618,57.78022,54076200
2012-12-06,57.602173,58.29661,57.450825,58.15416,47512300
2012-12-07,58.439052,58.501372,57.611076,57.806942,30089400
2012-12-10,57.646677,58.278787,57.646677,57.976089,33219600
2012-12-11,58.376741,59.062266,58.332223,58.732861,40750800
2012-12-12,59.044463,59.044463,58.447966,58.608219,45917700
2012-12-13,58.492486,58.902029,57.895989,58.145271,45467700
2012-12-14,57.753527,57.940488,57.397407,57.593273,39630300
2012-12-17,57.646674,58.376716,57.56655,58.358913,42302900
2012-12-18,58.652733,59.338265,58.49248,59.249237,55596000
2012-12-19,59.418389,59.436199,58.955438,58.991051,34832500
2012-12-20,59.097882,59.124597,58.697251,58.991051,40754300
2012-12-21,58.084143,58.442247,57.833473,58.370625,51152900
2012-12-24,58.218423,58.316902,58.119945,58.254234,11418300
2012-12-26,58.298999,58.352712,57.555936,57.743938,21751300
2012-12-27,57.797649,57.869271,56.938205,57.654411,52933200
2012-12-28,57.21573,57.681263,57.07249,57.099346,33082100
2012-12-31,57.036689,58.415382,56.920308,58.307949,57544000
2013-01-02,59.740384,60.188011,59.51657,60.161148,70695900
2013-01-03,60.161124,60.286459,59.668738,59.847786,47366500
2013-01-04,59.874647,59.874647,59.507596,59.650833,33972500
2013-01-07,59.498639,59.767218,59.310636,59.668739,26766200
2013-01-08,59.659782,59.820928,59.239011,59.552349,28734900
2013-01-09,59.641882,59.937311,59.579215,59.776165,25600300
2013-01-10,60.187982,60.223786,59.579208,60.134262,37528000
2013-01-11,60.107422,60.241712,59.982087,60.214855,21158600
2013-01-14,59.910463,60.116374,59.686649,59.946274,36768500
2013-01-15,59.650833,59.740364,59.382261,59.650833,31675300
2013-01-16,59.731409,60.09846,59.623976,59.892555,33822300
2013-01-17,60.13427,60.411803,60.035791,60.179035,32024200
2013-01-18,59.999989,60.107422,59.776175,60.044754,31992000
2013-01-22,60.107419,60.187996,59.740368,60.14323,32123100
2013-01-23,60.48342,60.689332,60.393896,60.510277,31975700
2013-01-24,59.677692,60.232746,59.588161,59.677692,42596300
2013-01-25,59.865705,60.152187,59.749318,59.982086,39240100
2013-01-28,59.991044,60.322284,59.919422,60.116379,32926100
2013-01-29,60.044752,60.259611,59.650837,60.125328,35554700
2013-01-30,60.232741,60.411797,59.865691,59.999973,34445000
2013-01-31,59.973126,60.295418,59.81198,59.8657,34870500
2013-02-01,60.28646,60.680375,60.044745,60.572948,53120800
2013-02-04,60.22379,60.39389,59.498635,59.516544,48483700
2013-02-05,59.77617,60.581901,59.632933,60.393898,35120300
2013-02-06,60.196934,60.474467,60.017886,60.196934,43593200
2013-02-07,60.268566,60.313331,59.58817,60.250664,46017900
2013-02-08,60.555028,60.993701,60.546074,60.868366,39837200
2013-02-11,60.904182,60.931039,60.680368,60.88628,17650400
2013-02-12,60.805706,60.922094,60.572945,60.635612,22057900
2013-02-13,60.814672,61.083251,60.671428,60.850483,23494700
2013-02-14,60.572955,60.922104,60.537144,60.832573,24478800
2013-02-15,60.823615,60.975807,60.483414,60.653515,25333600
2013-02-19,60.769924,61.110125,60.752022,61.092216,23436500
2013-02-20,61.074299,61.101155,60.143233,60.152187,38200300
2013-02-21,59.928354,59.991022,59.292724,59.507584,45855600
2013-02-22,59.847812,60.116392,59.615044,60.107437,21968000
2013-02-25,60.492361,60.70722,59.310625,59.364338,40927600
2013-02-26,59.444932,59.695602,59.051017,59.588169,42088800
2013-02-27,59.58816,60.563992,59.507591,60.196934,36339500
2013-02-28,60.205891,60.644564,60.062647,60.071602,28557300
2013-03-01,59.865706,60.429714,59.57027,60.322281,31617200
2013-03-04,60.125321,60.599805,60.044745,60.590851,19380500
2013-03-05,60.948944,61.566665,60.948944,61.486095,35581900
2013-03-06,61.674137,61.692046,61.253366,61.333942,29071100
2013-03-07,61.405556,61.593565,61.28022,61.495087,21775900
2013-03-08,61.700967,61.790491,61.324961,61.566677,26159900
2013-03-11,61.48611,61.763637,61.298108,61.745735,23187900
