timestamp	commit	strategy	status	full_return_pct	avg_outperformance	avg_trades_yr	avg_win_rate	avg_sharpe	worst_maxdd	description
2026-04-05 15:25:31	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	618.43	1.5037	20.5	0.6548	1.3408	-35.43	return=+618.4% | avg_outperf=1.50x | trades/yr=20.5 | win=65.5% | sharpe=1.34 | maxDD=-35.4%
2026-04-05 15:30:04	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	421.44	1.0769	17.61	0.5741	1.0411	-25.86	return=+421.4% | avg_outperf=1.08x | trades/yr=17.6 | win=57.4% | sharpe=1.04 | maxDD=-25.9%
2026-04-05 15:33:23	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	694.04	1.4168	17.71	0.6596	1.2092	-24.97	return=+694.0% | avg_outperf=1.42x | trades/yr=17.7 | win=66.0% | sharpe=1.21 | maxDD=-25.0%
2026-04-05 15:43:45	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	698.16	1.3761	13.61	0.6378	1.1869	-28.56	return=+698.2% | avg_outperf=1.38x | trades/yr=13.6 | win=63.8% | sharpe=1.19 | maxDD=-28.6%
2026-04-05 15:56:13	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	714.67	1.4292	12.97	0.663	1.1646	-28.76	return=+714.7% | avg_outperf=1.43x | trades/yr=13.0 | win=66.3% | sharpe=1.16 | maxDD=-28.8%
2026-04-05 16:01:32	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	916.2	1.7126	18.51	0.6912	1.3403	-24.06	return=+916.2% | avg_outperf=1.71x | trades/yr=18.5 | win=69.1% | sharpe=1.34 | maxDD=-24.1%
2026-04-05 16:06:15	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	911.61	1.6749	18.73	0.6825	1.3364	-24.06	return=+911.6% | avg_outperf=1.67x | trades/yr=18.7 | win=68.2% | sharpe=1.34 | maxDD=-24.1%
2026-04-05 16:08:25	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	868.49	1.6506	17.66	0.6852	1.3095	-24.06	return=+868.5% | avg_outperf=1.65x | trades/yr=17.7 | win=68.5% | sharpe=1.31 | maxDD=-24.1%
2026-04-05 16:12:16	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	844.5	1.5634	17.88	0.7024	1.305	-27.9	return=+844.5% | avg_outperf=1.56x | trades/yr=17.9 | win=70.2% | sharpe=1.31 | maxDD=-27.9%
2026-04-05 16:17:16	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	891.6	1.6622	18.65	0.6872	1.3296	-24.06	return=+891.6% | avg_outperf=1.66x | trades/yr=18.6 | win=68.7% | sharpe=1.33 | maxDD=-24.1%
2026-04-05 16:23:04	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	980.13	1.8363	18.63	0.6929	1.3679	-24.06	return=+980.1% | avg_outperf=1.84x | trades/yr=18.6 | win=69.3% | sharpe=1.37 | maxDD=-24.1%
2026-04-05 16:28:50	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1127.25	2.1654	18.45	0.7095	1.4327	-24.06	return=+1127.3% | avg_outperf=2.17x | trades/yr=18.4 | win=71.0% | sharpe=1.43 | maxDD=-24.1%
2026-04-05 16:32:11	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1046.12	1.9633	17.7	0.7194	1.3966	-24.06	return=+1046.1% | avg_outperf=1.96x | trades/yr=17.7 | win=71.9% | sharpe=1.40 | maxDD=-24.1%
2026-04-05 16:33:39	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	960.26	1.8625	18.68	0.7227	1.4025	-23.68	return=+960.3% | avg_outperf=1.86x | trades/yr=18.7 | win=72.3% | sharpe=1.40 | maxDD=-23.7%
2026-04-05 16:35:28	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1018.35	1.8785	18.75	0.7084	1.4024	-23.68	return=+1018.3% | avg_outperf=1.88x | trades/yr=18.7 | win=70.8% | sharpe=1.40 | maxDD=-23.7%
2026-04-05 16:36:23	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	949.19	1.7513	18.58	0.7056	1.3738	-23.68	return=+949.2% | avg_outperf=1.75x | trades/yr=18.6 | win=70.6% | sharpe=1.37 | maxDD=-23.7%
2026-04-05 16:39:08	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1018.35	1.8785	18.75	0.7084	1.4024	-23.68	return=+1018.3% | avg_outperf=1.88x | trades/yr=18.7 | win=70.8% | sharpe=1.40 | maxDD=-23.7%
